gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZBP1,-1.470933996390371,7.9344530869411045,-3.550919347843867,0.0004834504903938696,0.0023698553450679886,-0.6113488107016183
GNA15,1.2394892759283889,5.041555387941878,3.487542459360177,0.0006049708230475075,0.002908513572343786,-0.8181705496033329
KLRC3,-1.1379235248734179,5.761789951750098,-3.439516146937739,0.0007155506266399623,0.0033436945170091693,-0.9727182987486955
MS4A1,-1.1858502867360352,8.270925709633634,-3.4014766441173316,0.0008162804524004586,0.003779076168520642,-1.0937877449806104
ISG15,-2.2241434882389175,9.880708797897237,-3.389692050678864,0.0008500829614096846,0.003899463125732498,-1.131053578002212
FCER1A,-2.4454454152502954,2.9217755748987035,-3.3115589888025108,0.0011094722837747461,0.0049530012668515455,-1.3752289753476532
TRAT1,-1.0472485172289083,7.576413373327857,-3.286788282512125,0.0012060171435094756,0.00528954887504156,-1.451583715408315
STAT2,-1.346071644524803,6.86512893717806,-3.2798982044845033,0.001234230041371449,0.005366217571180213,-1.4727313289054038
DDX60,-1.4266055676051896,8.685430125254385,-3.2698258914505907,0.0012765802410228187,0.00550250103889146,-1.503574924153467
C5,-1.6740202201732473,2.8781864846555667,-3.2579013693300425,0.0013284649705373561,0.00567720072879212,-1.539980956137236
HAL,-1.3390001005101735,7.491104095809462,-3.19948821141916,0.0016121613050465039,0.006625455918585522,-1.716599844222543
MPO,1.9351959163321688,4.036319838039287,3.098955686149626,0.0022354106531591676,0.00901375263370632,-2.013848250226066
MME,-1.6305757699754289,8.304814598314058,-3.0821712509081407,0.0023589557189119398,0.009381904101823263,-2.062642092622597
EPHB2,-1.5400232766821147,1.652510683979938,-3.078998803579257,0.002383003641863109,0.009381904101823263,-2.0718377780591615
CTSL1,1.457466505213542,5.104667935526123,3.0383495605915094,0.0027118152193898195,0.010593028200741482,-2.1889057107150416
DEFA1.1B.3,2.1641856960500814,12.456919768501919,3.014079335311457,0.002927559330391415,0.011287776015076635,-2.258130594562659
CD40LG,-1.5781242252019203,4.603179072186185,-3.013291325090085,0.002934821763919925,0.011287776015076635,-2.260369758608525
TMEM204,-1.7340652085240726,3.994210452134262,-2.9957190038985373,0.0031011380496612628,0.011836404769699476,-2.310164116579889
OSBPL10,-1.2037242371391965,4.987510426177518,-2.955824781349886,0.0035113562555927373,0.013102075580569916,-2.422228303793333
JUP,-1.4711033616322091,5.1768937280290075,-2.928952532559838,0.003815113724853587,0.01402615340019701,-2.496941755985655
CD244,-1.381791949541642,2.661837668106512,-2.917185022100484,0.003955557299733628,0.014436340509976744,-2.529463182590278
GPAA1,1.304268313608003,4.194973826783622,2.875671832371414,0.004489636188420862,0.016149770461945545,-2.643235741441003
ARG1,1.8255014840574724,9.087675936098588,2.8667358883684106,0.004612886050761358,0.01635775195305446,-2.6675307200833314
CAMK4,-1.0971099494502392,5.913283272414055,-2.80780707382142,0.005506049145388557,0.018986376363408816,-2.826008620481329
CD79A,-1.110381603134335,7.813146967060517,-2.8013363809824363,0.005613152595937557,0.019223125328553275,-2.8432260780577354
IL15,-1.3765703729037615,3.461623453109656,-2.7827135410786674,0.005932054949757126,0.020177057652235122,-2.892574446268324
CLEC1B,1.2305263616056559,4.323155631890313,2.766454823562309,0.006223834133005833,0.021026466665560246,-2.9354103261973474
CCL22,1.14739745105114,1.5640282420356117,2.712873424557823,0.007279905644094385,0.024001294820559328,-3.0749385120727273
InfB_M1,1.2226360777605196,2.1233313691649784,2.642434001764366,0.008914142413120382,0.028388988576816505,-3.254522704209533
ELANE,1.690273814714444,4.682856173144104,2.6322467578308943,0.009176048591630221,0.029038128454526017,-3.2801322220713147
KLRC2,-1.5177180313555783,3.597335456501968,-2.628544920412848,0.00927292154252732,0.029160130636878365,-3.2894154427899096
GBP1,-1.012237103854771,8.84217957342818,-2.5944781007879487,0.010208518791461977,0.031123532900798712,-3.3742756741732123
IRF7,-1.045105627344641,8.037064521714322,-2.5885588489301044,0.01037945785884569,0.0314529026025627,-3.3889154634221152
CASP12,1.0806304036473233,1.0803489826072767,2.554210669781301,0.011423009278749294,0.03359708611396851,-3.4732520930131225
IL1B,-1.0329969255625053,7.082326106130902,-2.5330584489630388,0.0121114271042774,0.03541352954467076,-3.524665221941402
CPA3,-1.1356155162919523,1.3314517607158385,-2.481455889028474,0.013948722590319962,0.03962705281340898,-3.648414766450308
PDGFB,1.170040298377368,1.4586493384252217,2.4257846592650862,0.016205216454065856,0.04526596774878731,-3.7792448878120415
NEXN,-1.078189232916618,4.2433772048490335,-2.414054036205825,0.016720014807801258,0.04618788620939574,-3.8064569609254053
